Title,Actors,Year,Runtime_Minutes
Guardians of the Galaxy,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",2014,121
Prometheus,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",2012,124
Split,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",2016,117
Sing,"Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",2016,108
Suicide Squad,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",2016,123
The Great Wall,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",2016,103
La La Land,"Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",2016,128
Mindhorn,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh",2016,89
The Lost City of Z,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",2016,141
Passengers,"Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne",2016,116
Fantastic Beasts and Where to Find Them,"Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler",2016,133
Hidden Figures,"Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner",2016,127
Rogue One,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",2016,133
Moana,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",2016,107
Colossal,"Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",2016,109
The Secret Life of Pets,"Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",2016,87
Hacksaw Ridge,"Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer",2016,139
Jason Bourne,"Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",2016,123
Lion,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",2016,118
Arrival,"Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg",2016,116
Gold,"Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll",2016,120
Manchester by the Sea,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",2016,137
Hounds of Love,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",2016,108
Trolls,"Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse",2016,92
Independence Day: Resurgence,"Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe",2016,120
Paris pieds nus,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard",2016,83
Bahubali: The Beginning,"Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia",2015,159
Dead Awake,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",2016,99
Bad Moms,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",2016,100
Assassin's Creed,"Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson",2016,115
Why Him?,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",2016,111
Nocturnal Animals,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",2016,116
X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2016,144
Deadpool,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",2016,108
Resident Evil: The Final Chapter,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",2016,107
Captain America: Civil War,"Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",2016,147
Interstellar,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",2014,169
Doctor Strange,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",2016,115
The Magnificent Seven,"Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio",2016,132
5- 25- 77,"John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn",2007,113
Sausage Party,"Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",2016,89
Moonlight,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",2016,111
Don't Fuck in the Woods,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",2016,73
The Founder,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",2016,115
Lowriders,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori",2016,99
Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",2011,136
Miss Sloane,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg",2016,132
Fallen,"Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine",2016,91
Star Trek Beyond,"Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",2016,122
The Last Face,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris",2016,130
Star Wars: Episode VII - The Force Awakens,"Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",2015,136
Underworld: Blood Wars,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",2016,91
Mother's Day,"Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",2016,118
John Wick,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",2014,101
The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine",2008,152
Silence,"Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",2016,161
Don't Breathe,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",2016,88
Me Before You,"Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",2016,106
Their Finest,"Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston",2016,117
Sully,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",2016,96
